5.59,-5.39,0.88
5.59,-5.42,0.88
5.59,-4.84,0.98
5.59,-5.91,1.62
5.60,-1.20,2.18
5.62,9.29,1.12
5.63,21.14,1.53
5.65,-2.60,1.22
5.65,-7.21,0.93
5.65,4.12,1.00
5.66,-34.07,1.67
5.68,-1.94,2.15
5.68,-1.13,0.88
5.69,16.53,0.91
5.71,1.47,0.90
5.74,-22.45,1.29
5.75,-65.74,1.05
5.78,-14.82,1.30
5.79,-51.07,1.20
5.80,-9.67,1.96
5.82,24.57,0.90
5.82,39.18,1.00
5.83,12.65,0.90
5.83,-56.17,1.00
5.85,-35.77,1.47
5.85,37.31,0.94
5.86,-20.88,1.23
5.86,39.15,1.16
5.87,1.86,0.93
5.89,-33.80,0.90
5.89,27.61,0.98
5.90,-63.09,0.96
5.91,20.28,1.03
5.91,55.71,0.88
5.92,7.41,3.07
5.92,-37.12,0.88
5.94,-14.17,1.24
5.96,-35.28,1.04
5.97,25.95,0.92
5.99,-42.82,1.16
5.99,54.28,1.24
5.99,44.95,2.06
6.00,37.21,1.67
6.00,45.94,1.06
6.00,-3.07,0.99
6.03,-10.60,0.89
6.04,9.65,1.11
6.07,20.14,0.96
6.07,23.26,1.10
6.08,-16.48,0.89
6.10,-14.94,0.95
6.13,14.77,1.02
6.17,-54.97,0.94
6.20,14.21,1.01
6.20,16.13,0.88
6.25,-6.27,1.15
6.25,22.51,1.39
6.26,29.50,1.05
6.28,-35.14,1.04
6.31,69.32,0.93
6.33,59.01,1.02
6.33,-2.94,0.89
6.34,-30.06,1.51
6.37,-33.44,1.20
6.38,-17.96,2.01
6.38,22.51,1.57
6.40,4.59,1.03
6.40,-52.70,4.14
6.41,49.29,0.89
6.47,-32.58,1.01
6.48,-7.03,1.23
6.48,20.21,1.11
6.53,-23.42,1.05
6.55,7.33,1.01
6.58,-52.98,1.04
6.58,-22.96,0.99
6.61,-19.26,1.16
6.63,16.40,2.04
6.63,-43.20,1.45
6.63,-18.24,1.02
6.65,-14.15,0.92
6.66,42.49,0.92
6.68,9.90,0.96
6.73,25.13,1.49
6.73,13.23,1.00
6.75,-16.71,5.19
6.75,12.90,1.38
6.77,59.44,0.91
6.79,8.04,0.93
6.80,2.41,1.01
6.80,-61.94,1.42
6.83,-32.51,1.32
6.83,-53.62,1.03
6.83,-50.61,1.54
6.85,41.78,0.87
6.85,-34.37,0.87
6.88,33.96,1.28
6.89,-20.22,0.92
6.90,-24.18,1.18
6.90,-12.04,1.12
6.91,13.18,0.94
6.93,-20.14,0.96
6.94,-17.05,1.04
6.94,-48.72,0.89
6.95,58.42,1.04
6.96,45.09,0.90
6.98,-28.97,2.30
7.00,76.98,0.99
7.03,-27.93,1.32
7.05,-4.24,0.87
7.05,-23.83,1.51
7.06,-15.63,1.11
7.06,-49.58,0.89
7.07,20.57,1.15
7.14,-26.39,2.10
7.15,-70.50,1.22
7.15,-39.66,0.91
7.17,-4.24,0.89
7.19,30.25,1.03
7.19,39.32,0.89
7.20,-0.49,1.10
7.21,-46.76,1.00
7.22,-45.18,0.90
7.23,-44.64,1.02
7.24,-26.35,1.02
7.24,-48.27,0.93
7.25,-26.77,1.15
7.28,-27.88,0.96
7.28,-23.32,0.91
7.28,-67.96,1.16
7.29,-37.10,1.64
7.30,16.54,1.29
7.31,-36.73,0.96
7.31,-24.56,0.90
7.31,-24.95,1.04
7.34,21.98,1.32
7.37,-19.02,0.89
7.40,-29.30,1.77
7.43,9.28,0.87
7.43,27.80,1.22
7.45,49.21,0.97
7.45,8.29,1.56
7.47,8.93,1.05
7.49,31.78,1.10
7.49,-43.30,1.41
7.50,12.01,0.99
7.50,-23.02,0.91
7.51,-30.96,0.96
7.52,82.41,0.89
7.56,-14.52,0.92
7.57,-22.30,1.02
7.58,31.89,2.25
7.59,-28.37,0.96
7.59,-52.53,0.89
7.60,26.90,1.13
7.62,-34.97,0.99
7.64,-25.36,0.95
7.65,-26.80,1.21
7.65,34.58,0.90
7.66,5.23,3.12
7.66,-38.31,0.91
7.67,-15.26,0.88
7.69,-9.55,1.17
7.70,-72.61,1.17
7.72,58.71,0.89
7.72,28.88,1.08
7.73,-28.41,0.96
7.73,-28.95,1.17
7.74,24.40,1.29
7.75,-37.97,1.28
7.76,28.03,2.52
7.77,18.51,0.90
7.80,-25.94,1.03
7.81,-47.08,0.95
7.82,-46.37,1.12
7.82,-24.86,1.38
7.87,-40.58,1.24
7.88,-38.86,1.00
7.88,-49.61,0.96
7.89,-48.10,1.08
7.89,26.77,0.88
7.95,-52.98,1.33
7.95,-22.88,1.09
7.96,-30.33,0.93
7.97,-49.24,1.01
8.00,-3.68,0.89
8.00,-18.40,0.97
8.01,-63.57,0.92
8.02,-1.39,0.95
8.04,2.33,1.03
8.06,27.79,0.89
8.06,-40.00,1.89
8.13,-24.30,1.59
8.13,-68.62,1.04
8.14,51.51,0.93
8.14,-2.98,1.04
8.15,-61.30,0.94
8.15,-19.25,1.03
8.16,-47.34,2.14
8.19,-12.93,0.94
8.19,-39.62,1.02
8.19,-42.99,0.94
8.20,17.65,0.95
8.22,-15.79,0.87
8.22,-35.90,0.93
8.23,-40.35,1.02
8.28,9.19,1.31
8.31,-76.92,1.13
8.31,-36.66,1.02
8.34,-77.48,1.05
8.36,-33.05,0.91
8.38,-59.51,2.08
8.38,-48.49,0.92
8.38,43.19,1.07
8.43,-3.91,1.18
8.43,-66.14,1.22
8.50,60.72,1.38
8.59,-58.01,0.91
8.63,-42.99,1.11
8.63,5.70,1.10
8.65,3.34,1.01
8.66,-29.56,0.91
8.67,-12.48,0.88
8.67,-35.31,1.16
8.67,64.33,0.98
8.67,-52.92,1.28
8.68,-59.76,1.05
8.68,-46.65,1.22
8.69,-47.32,0.94
8.70,-15.94,0.90
8.71,-53.11,0.91
8.72,3.40,1.06
8.72,21.47,0.96
8.73,-33.19,1.26
8.73,-7.23,0.96
8.74,-42.65,1.13
8.74,18.15,1.17
8.75,-54.71,2.04
8.77,-46.04,1.19
8.77,-13.55,1.05
8.78,28.76,1.14
8.78,-56.77,1.00
8.78,6.42,1.36
8.81,5.84,1.04
8.83,-45.31,0.89
8.84,-27.71,1.14
8.92,-60.64,1.20
8.92,5.95,1.47
8.93,-27.68,0.90
8.94,-52.72,0.95
8.95,-59.23,0.89
8.97,11.86,1.07
8.99,48.04,1.47
9.00,-41.25,1.01
9.01,41.78,1.16
9.04,-66.40,1.15
9.04,67.63,0.94
9.06,47.16,1.29
9.07,-47.10,1.23
9.09,-72.60,1.01
9.09,-70.54,0.96
9.10,5.09,0.87
9.11,38.45,0.98
9.13,-43.43,1.88
9.13,-25.86,0.97
9.15,51.60,1.01
9.17,67.13,0.92
9.18,63.51,0.95
9.18,-58.97,1.35
9.18,-44.87,0.87
9.19,-62.32,1.16
9.22,-69.72,2.19
9.24,2.32,1.18
9.26,-38.57,0.89
9.26,-37.41,0.96
9.27,54.02,0.92
9.27,-57.54,1.05
9.28,-59.28,1.89
9.31,36.80,1.21
9.33,-11.97,0.93
9.34,-9.56,0.92
9.35,-62.40,0.92
9.35,34.39,1.46
9.36,-25.97,0.94
9.37,-55.01,1.76
9.39,-28.83,0.94
9.41,26.18,1.01
9.46,-22.34,0.94
9.46,-8.66,2.01
9.49,-2.77,0.98
9.49,-35.95,1.00
9.51,-40.47,1.28
9.52,-57.03,1.45
9.53,63.06,1.27
9.53,22.97,1.05
9.53,11.30,0.87
9.53,-1.18,0.99
9.55,51.68,1.45
9.57,36.40,0.99
9.57,-59.23,1.12
9.57,69.83,0.99
9.58,52.05,1.01
9.58,39.62,0.92
9.61,-49.36,1.05
9.62,81.33,1.06
9.64,4.65,0.95
9.66,-61.33,1.00
9.66,-1.14,1.18
9.69,9.89,1.31
9.69,-23.59,0.93
9.70,-23.92,0.89
9.74,-27.77,0.93
9.75,-62.51,1.25
9.76,23.77,1.53
9.79,-65.07,1.55
9.85,59.04,1.22
9.86,-14.85,1.11
9.86,-46.55,0.98
9.87,54.06,0.99
9.88,26.01,1.19
9.90,-25.93,0.90
9.91,-19.01,0.89
9.95,-54.57,1.31
10.00,8.04,0.95
10.09,-13.06,0.97
10.12,16.76,1.33
10.12,35.24,1.00
10.13,10.00,1.03
10.13,-0.37,1.01
10.14,11.97,2.39
10.15,-51.81,0.91
10.18,-12.35,1.28
10.23,-70.04,1.40
10.25,-42.12,1.20
10.28,23.42,1.35
10.28,-61.33,1.36
10.28,42.91,1.34
10.33,-55.03,0.98
10.33,19.47,0.93
10.33,19.84,1.99
10.35,-56.04,1.00
10.37,-41.65,0.92
10.37,41.50,1.49
10.38,-66.90,0.88
10.40,65.57,0.89
10.41,-74.03,1.15
10.43,33.80,0.94
10.43,-16.84,1.20
10.45,-31.07,1.06
10.46,-57.64,0.96
10.46,-58.74,1.21
10.46,36.71,1.09
10.51,-71.99,0.94
10.51,55.98,0.92
10.52,-73.22,0.89
10.52,-53.72,0.90
10.53,-61.69,1.39
10.55,9.31,1.20
10.55,40.43,0.94
10.58,75.71,0.91
10.59,-78.61,1.11
10.59,-57.56,1.01
10.62,-27.41,0.90
10.62,-48.23,1.20
10.63,-13.38,0.90
10.64,-16.88,0.89
10.65,31.98,0.95
10.65,-59.18,0.95
10.66,-55.60,1.06
10.70,-64.47,0.93
10.72,-64.39,1.63
10.73,-60.57,0.98
10.74,-63.96,0.92
10.76,-80.54,1.01
10.78,-49.42,1.65
10.78,-64.38,0.90
10.83,-16.19,1.47
10.89,34.22,1.22
10.89,-58.85,1.22
10.90,43.19,0.96
10.93,24.75,1.06
10.95,-37.14,0.97
11.00,-18.30,1.12
11.00,-42.23,1.04
11.01,3.62,0.91
11.01,6.10,0.88
11.03,-2.48,0.94
11.03,56.38,1.82
11.04,20.18,1.02
11.06,61.75,2.11
11.08,7.34,0.97
11.09,-27.29,0.89
11.11,-62.42,0.97
11.14,-58.98,1.17
11.16,44.50,1.52
11.19,-22.83,1.01
11.21,-60.32,0.98
11.24,20.52,1.71
11.24,15.43,1.38
11.25,23.10,0.98
11.28,-3.65,1.01
11.31,33.09,1.32
11.32,38.19,0.93
11.32,-14.78,1.30
11.35,-54.49,1.18
11.35,6.03,1.13
11.38,43.48,0.87
11.40,10.53,1.15
11.41,-10.86,0.92
11.41,-17.68,1.13
11.47,2.86,0.88
11.51,-3.00,0.93
11.52,69.33,1.21
11.54,-29.26,0.89
11.55,-31.86,1.30
11.58,-54.26,0.97
11.60,-63.02,1.47
11.61,-9.80,0.95
11.62,-0.82,1.06
11.67,-34.74,0.95
11.68,-62.09,0.89
11.75,-18.35,0.94
11.75,8.26,0.91
11.76,-66.73,1.27
11.76,6.53,1.14
11.77,47.78,1.25
11.78,-61.18,1.11
11.78,-40.50,0.90
11.80,20.22,1.00
11.80,-66.81,0.93
11.82,14.57,1.92
11.83,-63.79,1.06
11.83,-70.23,0.88
11.84,1.77,1.29
11.85,-45.17,1.01
11.86,-65.21,0.90
11.88,-33.91,1.06
11.90,53.69,1.79
11.99,-78.22,0.90
12.01,6.61,0.96
12.05,-63.31,1.05
12.07,-63.17,0.94
12.09,8.73,1.11
12.11,-64.61,1.10
12.13,-50.66,1.01
12.14,-50.72,1.70
12.14,-24.73,1.14
12.17,-22.62,1.51
12.19,-52.37,1.16
12.25,-58.75,1.61
12.26,57.03,1.39
12.26,-17.54,1.70
12.27,23.95,0.89
12.28,33.06,0.87
12.29,-67.96,1.13
12.31,-79.31,1.07
12.31,-64.00,1.13
12.33,-0.67,1.18
12.34,3.31,0.88
12.35,17.79,0.94
12.36,-60.40,1.29
12.38,25.85,0.93
12.40,51.56,0.93
12.44,27.27,0.89
12.44,-51.45,0.92
12.44,-63.10,2.81
12.45,28.27,1.04
12.45,26.83,0.88
12.47,-50.23,1.18
12.50,-16.52,1.54
12.52,-57.11,2.24
12.53,-16.20,1.06
12.54,-72.13,1.20
12.56,69.79,1.20
12.56,41.36,1.07
12.57,-23.40,1.67
12.58,70.02,0.88
12.58,22.63,0.92
12.62,-69.14,1.65
12.63,-48.54,1.20
12.65,-8.00,0.96
12.66,-39.99,0.96
12.69,-48.96,1.89
12.69,-1.45,1.63
12.70,10.24,0.90
12.70,-59.69,0.89
12.71,-48.81,0.96
12.76,-60.98,0.95
12.77,-68.11,1.50
12.77,-56.49,0.97
12.80,-59.69,2.46
12.84,-34.00,0.90
12.86,27.54,0.89
12.89,-48.94,1.05
12.89,21.25,0.90
12.89,-40.18,1.07
12.90,55.96,2.14
12.91,-9.54,0.93
12.91,-57.18,1.14
12.91,-59.15,0.97
12.93,3.40,1.36
12.93,38.32,1.56
12.98,17.41,0.93
13.00,30.79,0.90
13.01,56.37,0.89
13.04,10.96,1.58
13.04,-71.55,1.28
13.06,-49.53,0.91
13.10,-48.46,0.94
13.12,-49.91,1.07
13.12,27.62,0.92
13.15,-23.12,0.89
13.17,-5.54,1.03
13.17,17.53,1.05
13.20,27.88,1.08
13.20,-37.80,0.91
13.20,-59.92,0.98
13.23,40.15,0.89
13.24,-59.10,0.90
13.25,-67.89,0.92
13.29,-66.78,0.91
13.29,40.57,0.94
13.29,5.47,0.93
13.31,-18.31,0.94
13.32,-23.17,1.52
13.34,-36.71,1.62
13.38,-60.99,0.99
13.40,54.93,1.88
13.40,-64.54,0.99
13.42,-11.16,2.65
13.42,54.99,1.15
13.46,-15.97,0.93
13.47,13.78,0.88
13.52,-39.41,1.18
13.53,-6.26,0.95
13.57,3.66,0.89
13.57,49.02,0.95
13.58,-0.60,1.36
13.58,37.18,0.89
13.62,36.29,0.92
13.66,-53.47,1.85
13.68,54.68,0.96
13.70,-54.56,0.87
13.76,-33.04,1.08
13.78,-51.43,0.96
13.79,17.46,1.00
13.79,49.31,2.08
13.82,-34.45,1.09
13.82,15.80,1.13
13.83,-41.69,1.35
13.83,-42.47,1.33
13.83,21.26,0.89
13.83,-18.13,0.88
13.86,64.72,0.98
13.86,34.44,0.93
13.86,-32.99,1.05
13.89,-31.93,0.93
13.91,18.40,1.66
13.93,-47.29,1.72
13.96,-63.69,0.94
13.97,-42.10,1.20
13.98,-44.80,1.19
14.03,1.54,1.08
14.03,-45.60,1.05
14.06,-60.37,2.94
14.07,64.38,1.26
14.10,-41.18,1.04
14.11,-26.68,1.41
14.11,-36.37,1.97
14.15,77.55,0.92
14.17,-53.44,0.94
14.17,25.09,0.92
14.18,-16.30,0.89
14.20,2.41,0.87
14.21,-10.27,1.09
14.22,51.79,0.99
14.26,19.19,3.53
14.27,-6.00,1.13
14.27,51.37,0.93
14.27,46.09,1.09
14.30,35.51,0.92
14.30,-81.01,0.90
14.32,-13.37,0.99
14.32,-46.06,1.30
14.33,16.31,0.91
14.34,-56.39,1.06
14.34,-37.89,1.13
14.35,-45.19,0.93
14.38,-58.46,0.93
14.38,-39.51,1.03
14.38,-27.75,0.93
14.39,8.45,0.91
14.42,51.85,1.14
14.44,-45.22,0.98
14.44,-45.38,1.05
14.45,-83.67,1.05
14.46,75.70,1.07
14.47,-29.49,0.88
14.47,-2.23,0.92
14.53,30.37,1.29
14.53,38.31,1.50
14.54,-50.46,1.02
14.58,29.74,1.01
14.59,-42.16,1.83
14.63,-49.43,1.13
14.66,-60.84,2.39
14.66,-60.84,3.49
14.68,16.42,1.00
14.69,13.73,1.22
14.69,8.16,0.91
14.70,-47.39,1.84
14.70,-37.79,1.15
14.71,-64.97,1.44
14.72,-5.66,1.19
14.72,26.53,0.92
14.73,-35.17,1.13
14.75,-35.19,0.89
14.75,27.07,1.82
14.75,16.96,0.97
14.77,1.89,1.24
14.80,-79.04,1.20
14.84,-27.96,1.02
14.85,74.16,1.96
14.85,-16.04,1.62
14.85,-2.30,0.89
14.86,19.10,0.99
14.86,-43.58,1.05
14.95,-4.35,1.01
14.96,65.93,0.96
14.98,-43.13,1.66
14.99,-42.10,1.46
15.02,-8.52,0.89
15.03,40.39,1.32
15.04,25.01,0.92
15.05,2.09,1.03
15.06,47.65,0.91
15.07,-25.28,1.41
15.07,26.95,0.99
15.09,-47.05,1.18
15.12,24.87,0.89
15.15,-45.28,1.13
15.20,-48.74,1.19
15.20,-19.79,0.99
15.20,-52.10,1.35
15.21,-44.50,0.91
15.24,-31.52,0.89
15.26,33.32,1.33
15.28,-9.38,1.69
15.29,-58.80,1.13
15.29,-63.61,0.91
15.30,-30.15,1.04
15.31,-47.88,1.07
15.32,-68.68,1.57
15.35,71.83,1.52
15.36,-40.65,1.43
15.36,-36.26,1.29
15.37,-47.93,0.87
15.38,-44.69,1.37
15.39,-36.86,0.99
15.39,30.29,0.87
15.39,-59.32,1.01
15.40,-10.32,0.89
15.41,37.38,1.05
15.42,58.97,1.40
15.42,-38.73,0.97
15.46,29.11,1.26
15.53,40.90,0.88
15.55,31.36,1.10
15.57,-10.06,0.97
15.58,26.71,1.88
15.58,10.54,1.21
15.59,-41.17,1.60
15.59,-14.79,1.18
15.60,-44.96,0.99
15.61,-66.32,1.11
15.62,-28.14,1.28
15.63,-42.57,1.05
15.64,-29.78,1.26
15.66,36.64,0.96
15.66,-34.41,0.96
15.67,-23.82,0.88
15.69,-44.66,0.96
15.69,19.67,1.00
15.70,-19.68,0.93
15.71,-34.71,0.93
15.71,26.30,1.21
15.73,77.79,1.06
15.74,6.43,1.68
15.77,15.42,1.27
15.77,7.35,1.02
15.81,18.14,1.12
15.83,26.07,0.98
15.83,-3.43,1.30
15.85,4.48,1.24
15.85,-33.63,1.16
15.85,-25.75,0.96
15.85,35.66,0.92
15.85,20.98,0.94
15.88,42.45,0.97
15.89,-25.33,0.98
15.90,-16.73,1.11
15.92,-63.43,1.59
15.94,15.66,1.20
15.95,-29.21,1.19
15.96,26.88,1.10
15.96,54.75,0.88
15.97,-14.28,0.88
15.98,-26.11,1.56
15.99,-41.74,0.87
16.00,-38.40,1.35
16.01,-22.62,1.85
16.02,29.85,0.88
16.03,58.56,1.15
16.04,22.80,0.92
16.05,46.04,0.94
16.05,-49.23,0.96
16.06,-25.87,0.88
16.06,-38.60,0.90
16.06,-57.77,0.96
16.09,-19.81,1.71
16.09,-19.80,0.90
16.11,-45.17,0.94
16.11,-36.80,1.08
16.11,-20.67,1.17
16.12,-20.87,1.05
16.15,44.93,1.08
16.15,36.49,0.94
16.20,-19.46,1.15
16.20,-10.06,0.89
16.21,-27.93,0.98
16.22,-54.63,0.88
16.24,-3.69,1.63
